Title,Year,Genre,Rating (Of 10)
Uncut Gems (2019),2019,"Crime, Drama, Thriller",7.5
Snowpiercer (2013),2013,"Action, Drama, Sci-Fi",7.1
Joker (2019),2019,"Crime, Drama, Thriller",8.5
Ready or Not (I) (2019),2019,"Comedy, Horror, Mystery",6.8
Once Upon a Time... in Hollywood (2019),2019,"Comedy, Drama",7.7
The Gentlemen (2019),2019,"Action, Comedy, Crime",7.9
Parasite (2019),2019,"Comedy, Drama, Thriller",8.6
1917 (2019),2019,"Drama, War",8.3
Knives Out (2019),2019,"Comedy, Crime, Drama",7.9
Rocketman (I) (2019),2019,"Biography, Drama, Music",7.3
Avengers: Endgame (2019),2019,"Action, Adventure, Drama",8.4
Star Wars: Episode IX - The Rise of Skywalker (2019),2019,"Action, Adventure, Fantasy",6.7
Justice League (2017),2017,"Action, Adventure, Fantasy",6.4
The Lodge (2019),2019,"Drama, Horror, Thriller",6.1
Midsommar (2019),2019,"Drama, Horror, Mystery",7.1
Jojo Rabbit (2019),2019,"Comedy, Drama, War",7.9
 Just Go with It (2011),2011,"Comedy, Romance",6.4
The Last Airbender (2010),2010,"Action, Adventure, Family",4.1
19. The Vast of Night (2019),2019,"Drama, Fantasy, Mystery",6.8
Fast & Furious Presents: Hobbs & Shaw (2019),2019,"Action, Adventure",6.5
The Platform (2019),2019,"Horror, Sci-Fi, Thriller",7
Inception (2010),2010,"Action, Adventure, Sci-Fi",8.8
I See You (II) (2019),2019,"Crime, Drama, Horror",6.8
Interstellar (2014),2014,"Adventure, Drama, Sci-Fi",8.6
Little Women (2019),2019,"Drama, Romance",7.9
The Lighthouse (I) (2019),2019,"Drama, Fantasy, Horror",7.6
Maleficent: Mistress of Evil (2019),2019,"Adventure, Family, Fantasy",6.6
Suicide Squad (2016),2016,"Action, Adventure, Fantasy",6
Jumanji: The Next Level (2019),2019,"Action, Adventure, Comedy",6.7
Mad Max: Fury Road (2015),2015,"Action, Adventure, Sci-Fi",8.1
Alita: Battle Angel (2019),2019,"Action, Adventure, Sci-Fi",7.3
Hustlers (2019),2019,"Comedy, Crime, Drama",6.3
Bad Education (2019),2019,"Biography, Comedy, Crime",7.1
Django Unchained (2012),2012,"Drama, Western",8.4
Blood Machines (2019),2019,"Adventure, Music, Sci-Fi",6.4
Ford v Ferrari (2019),2019,"Action, Biography, Drama",8.1
Captain America: The First Avenger (2011),2011,"Action, Adventure, Sci-Fi",6.9
The Wretched (2019),2019,Horror,5.8
 The Irishman (2019),2019,"Biography, Crime, Drama",7.9
Midway (2019),2019,"Action, Adventure, Drama",6.7
Contagion (2011),2011,"Action, Drama, Thriller",6.7
Doctor Sleep (2019),2019,"Drama, Fantasy, Horror",7.4
Avengers: Infinity War (2018),2018,"Action, Adventure, Sci-Fi",8.5
The Lion King (2019),2019,"Animation, Adventure, Drama",6.9
The VelociPastor (2018),2018,"Action, Adventure, Comedy",5.2
Bombshell (2019),2019,"Biography, Drama",6.8
The Wolf of Wall Street (2013),2013,"Biography, Crime, Drama",8.2
Dunkirk (2017),2017,"Action, Drama, History",7.9
It Chapter Two (2019),2019,"Drama, Fantasy, Horror",6.6
Scott Pilgrim vs. the World (2010),2010,"Action, Comedy, Fantasy",7.5
Thor: Ragnarok (2017),2017,"Action, Adventure, Comedy",7.9
Guardians of the Galaxy (2014),2014,"Action, Adventure, Comedy",8
Call Me by Your Name (2017),2017,"Drama, Romance",7.9
6 Underground (2019),2019,"Action, Comedy, Thriller",6.1
Deadpool 2 (2018),2018,"Action, Adventure, Comedy",7.7
 The Dark Knight Rises (2012),2012,"Action, Adventure",8.4
Yesterday (III) (2019),2019,"Comedy, Fantasy, Music",6.8
Mission: Impossible - Fallout (2018),2018,"Action, Adventure, Thriller",7.7
Harry Potter and the Deathly Hallows: Part 2 (2011),2011,"Adventure, Drama, Fantasy",8.1
The Hunger Games (2012),2012,"Action, Adventure, Sci-Fi",7.2
The Goldfinch (2019),2019,Drama,6.2
Crazy Rich Asians (2018),2018,"Comedy, Drama, Romance",6.9
Love (II) (2015),2015,"Drama, Romance",6.1
The Greatest Showman (2017),2017,"Biography, Drama, Musical",7.6
Hereditary (2018),2018,"Drama, Horror, Mystery",7.3
Anna (II) (2019),2019,"Action, Thriller",6.6
Den of Thieves (2018),2018,"Action, Crime, Drama",7
Blade Runner 2049 (2017),2017,"Action, Drama, Mystery",8
BlacKkKlansman (2018),2018,"Biography, Crime, Drama",7.5
Batman v Superman: Dawn of Justice (2016),2016,"Action, Adventure, Sci-Fi",6.5
Gone Girl (2014),2014,"Drama, Mystery, Thriller",8.1
Frozen II (2019),2019,"Animation, Adventure, Comedy",6.9
Spider-Man: Far from Home (2019),2019,"Action, Adventure, Sci-Fi",7.5
Prisoners (2013),2013,"Crime, Drama, Mystery",8.1
 John Wick (2014),2014,"Action, Crime, Thriller",7.4
It (I) (2017),2017,Horror,7.3
The Blackout (2019),2019,"Action, Sci-Fi, Thriller",6
